drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
Temozolomide,984,1558,992,1656,146,269,1040,949.285714285714
Acipimox,534,355,660,1860,1794,991,459,950.428571428571
Selegiline,794,632,508,868,1712,1309,831,950.571428571428
Tolbutamide,669,1393,985,319,1231,1082,976,950.714285714285
Trazodone,820,1911,555,364,892,1075,1041,951.142857142857
Ketotifen,178,1544,1417,1452,800,863,406,951.428571428571
Escitalopram,461,1502,1084,533,892,1148,1041,951.571428571428
Tivantinib,696,707,1950,843,739,686,1041,951.714285714285
Tolfenamic Acid,909,701,795,1204,953,1059,1041,951.714285714285
Isradipine,794,844,644,939,1053,1348,1041,951.857142857142
Nitrous oxide,640,1086,828,1258,950,862,1041,952.142857142857
Azelaic Acid,696,949,1131,1219,483,1420,768,952.285714285714
Glutaral,184,745,1130,299,1715,1568,1041,954.571428571428
Halofuginone,1147,821,1747,454,1569,396,548,954.571428571428
Plitidepsin,1147,821,1747,454,1569,396,548,954.571428571428
Propylthiouracil,640,984,608,509,1232,1674,1041,955.428571428571
Ibandronate,834,765,828,625,1775,875,991,956.142857142857
Desogestrel,502,250,830,1438,984,1652,1041,956.714285714285
Lucanthone,247,790,1539,980,477,1623,1041,956.714285714285
Alisertib,696,1266,872,1771,397,1113,586,957.285714285714
Ethynodiol diacetate,534,359,1732,1628,590,824,1041,958.285714285714
Etonogestrel,534,359,1732,1628,590,824,1041,958.285714285714
Trifluridine,1147,722,703,1660,675,841,967,959.285714285714
Quinidine,834,1168,757,598,1146,1172,1041,959.428571428571
Fludrocortisone,474,1620,788,968,626,1201,1041,959.714285714285
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",290,1141,1587,1307,1485,580,329,959.857142857142
D-Lactic acid,290,1141,1587,1307,1485,580,329,959.857142857142
Mazindol,184,745,1229,853,817,1867,1041,962.285714285714
Propyl Gallate,534,441,1751,1660,490,845,1041,966
Dexfosfoserine,1061,1561,1139,838,1396,409,371,967.857142857142
Capecitabine,1147,597,699,1787,660,897,991,968.285714285714
Paroxetine,661,1411,574,868,1461,790,1020,969.285714285714
Cytidine 3'-monophosphate,984,622,1571,459,1117,1015,1018,969.428571428571
Nesbuvir,1147,733,738,1587,1640,453,494,970.285714285714
Ofloxacin,834,600,2004,1258,660,1035,411,971.714285714285
Isopropyl beta-D-thiogalactopyranoside,1106,1886,633,422,1051,895,813,972.285714285714
Mirtazapine,964,1897,463,952,1110,420,1007,973.285714285714
Erythromycin,238,1556,1133,650,495,1842,902,973.714285714285
Ribostamycin,1147,610,2033,436,725,1172,694,973.857142857142
Nilvadipine,502,962,1149,726,1185,1259,1041,974.857142857142
Buspirone,1096,1299,672,546,1603,872,744,976
Mianserin,1106,1891,526,396,1007,881,1041,978.285714285714
Benzethonium,111,643,1000,1002,1185,1867,1041,978.428571428571
Domiphen,111,643,1000,1002,1185,1867,1041,978.428571428571
Mestranol,534,430,1751,1660,590,845,1041,978.714285714285
Indole,1147,1643,852,380,327,1462,1041,978.857142857142
Physostigmine,68,1542,1262,843,1077,1023,1041,979.428571428571
Levonorgestrel,502,1578,690,802,807,1438,1041,979.714285714285
Fostamatinib,1147,606,1213,1587,577,781,949,980
Picrotoxin,1080,1239,897,980,763,876,1041,982.285714285714
Chlorpromazine,1050,1608,621,660,505,1593,857,984.857142857142
Nerispirdine,111,643,1404,1285,988,1425,1041,985.285714285714
Diethylstilbestrol,696,450,1756,1660,453,845,1041,985.857142857142
Picropodophyllin,696,1518,1017,1835,337,470,1032,986.428571428571
Angiotensin 1-7,696,1511,1079,1087,1082,903,554,987.428571428571
Clofazimine,168,515,1242,1204,939,1853,991,987.428571428571
Apomine,1147,781,1159,1530,541,773,985,988
Prinomastat,1147,874,1629,641,1485,793,348,988.142857142857
Maprotiline,892,1702,749,598,993,958,1041,990.428571428571
Spermine,1147,1456,402,809,1661,426,1041,991.714285714285
Calcipotriol,696,1191,1885,348,1728,751,348,992.428571428571
Sotalol,247,1140,1530,1219,844,930,1041,993
Indirubin-5-Sulphonate,1147,1369,1195,616,971,617,1041,993.714285714285
Bretylium,696,1209,1628,267,872,1261,1041,996.285714285714
Benzylpenicillin,1147,213,696,1122,1775,1085,937,996.428571428571
Dodecyl Sulfate,1147,566,1207,1406,1309,1035,305,996.428571428571
Norgestimate,696,373,1464,1750,690,965,1041,997
Apomorphine,1147,1554,643,623,1017,955,1041,997.142857142857
Azathioprine,1147,1231,1716,454,1517,450,473,998.285714285714
Choline,964,1515,564,1115,1104,709,1020,998.714285714285
Bosentan,794,1374,625,629,1394,1197,985,999.714285714285
Estriol,696,450,1656,1702,541,913,1041,999.857142857142
Equilin,534,430,1641,1660,636,1063,1041,1000.71428571428
Ibrutinib,1147,1457,1159,481,800,1028,937,1001.28571428571
Sarpogrelate,834,1633,921,385,1295,903,1041,1001.71428571428
1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,1147,195,1702,1587,1547,460,377,1002.14285714285
Anethole trithione,184,745,497,1321,1794,1449,1041,1004.42857142857
Drospirenone,909,1259,1568,472,720,1063,1041,1004.57142857142
Trifluoperazine,1142,1607,542,532,616,1583,1013,1005
Tetracaine,696,1091,951,369,1279,1623,1041,1007.14285714285
Nitrendipine,892,1315,451,1043,1112,1197,1041,1007.28571428571
Geneticin,1147,792,741,1628,1685,541,519,1007.57142857142
"8-cyclopentyl-1,3-dipropylxanthine",1147,1336,1049,1122,652,715,1041,1008.85714285714
"4-{[(2,6-dichlorophenyl)carbonyl]amino}-N-piperidin-4-yl-1H-pyrazole-3-carboxamide",1147,387,1678,1511,832,473,1041,1009.85714285714
Chlorambucil,1147,1135,780,881,1324,776,1030,1010.42857142857
Treprostinil,909,1669,729,881,720,1132,1041,1011.57142857142
Salmeterol,1080,1289,1015,750,918,989,1041,1011.71428571428
Fluspirilene,964,1734,840,629,918,962,1041,1012.57142857142
Bupivacaine,669,1944,645,938,825,1030,1041,1013.14285714285
Levosimendan,1147,1224,1030,459,971,1226,1041,1014
Ranolazine,984,1251,656,472,1232,1462,1041,1014
Betaxolol,696,1046,1547,853,1455,662,841,1014.28571428571
Mephedrone,534,1633,880,174,1238,1608,1041,1015.42857142857
Terazosin,820,1356,466,1160,1128,1138,1041,1015.57142857142
"1,3,5-Trichloro-Benzene",1147,551,616,1406,1547,806,1041,1016.28571428571
Saxagliptin,1147,843,1038,697,1745,816,841,1018.14285714285
VX-702,1147,191,1593,1860,1406,460,480,1019.57142857142
Nilutamide,534,1641,1092,1137,499,1201,1041,1020.71428571428
Lansoprazole,1080,1156,942,472,695,1762,1041,1021.14285714285
S-Hexylglutathione,1147,192,2070,955,1154,816,816,1021.42857142857
Ondansetron,1147,1353,905,991,917,797,1041,1021.57142857142
Carbocisteine,1147,1516,450,853,1547,772,872,1022.42857142857
Barium sulfate,1147,848,1213,687,357,1867,1041,1022.85714285714
Estramustine,696,441,1764,1728,652,845,1041,1023.85714285714
Brompheniramine,1061,1694,892,423,941,1118,1041,1024.28571428571
"N-Methyl-N-Propargyl-3-(2,4-Dichlorophenoxy)Propylamine",1026,1577,749,497,470,1813,1041,1024.71428571428
"3,4-Dihydroxybenzoic Acid",534,1012,1526,1002,712,1354,1041,1025.85714285714
Fexofenadine,696,1639,653,881,942,1602,768,1025.85714285714
CC-401,1147,474,1275,1860,1020,373,1041,1027.14285714285
Recoflavone,1147,474,1275,1860,1020,373,1041,1027.14285714285
Sodium carbonate,1147,1155,869,570,669,1739,1041,1027.14285714285
Ticlopidine,1124,866,506,934,1712,1137,911,1027.14285714285
Triptorelin,1147,474,1275,1860,1020,373,1041,1027.14285714285
Labetalol,1121,1644,622,991,1169,708,949,1029.14285714285
Ospemifene,534,430,1641,1660,702,1201,1041,1029.85714285714
Zenarestat,111,735,1172,1860,832,1769,732,1030.14285714285
Gallopamil,1147,1294,1444,313,1070,903,1041,1030.28571428571
Empagliflozin,290,875,1800,881,1547,781,1041,1030.71428571428
Trimipramine,794,1911,980,385,753,1353,1041,1031
Muscimol,984,1497,1029,1332,626,711,1041,1031.42857142857
OLOMOUCINE II,1147,840,1542,1524,574,585,1012,1032
L-Methionine,1147,962,1577,779,896,830,1041,1033.14285714285
Levamisole,909,687,1357,497,1304,1623,861,1034
Teniposide,534,1355,1360,459,1794,707,1041,1035.71428571428
Abiraterone,534,1334,1340,768,690,1549,1041,1036.57142857142
Isoniazid,238,633,708,1041,1787,1813,1041,1037.28571428571
Latamoxef,290,957,1454,1860,707,1354,639,1037.28571428571
Sodium hydroxide,290,957,1454,1860,707,1354,639,1037.28571428571
Aminosalicylic Acid,1147,1145,985,1043,1685,406,851,1037.42857142857
Beta-D-Glucose,909,497,449,1835,1794,843,937,1037.71428571428
Ebastine,534,1012,983,524,1304,1867,1041,1037.85714285714
Rotigaptide,290,1354,1497,337,1794,969,1041,1040.28571428571
Benzofuran,290,875,1651,1239,322,1867,1041,1040.71428571428
Oleic Acid,534,1593,914,1285,1154,913,902,1042.14285714285
Palmitoleic Acid,534,1593,914,1285,1154,913,902,1042.14285714285
LFA703,290,875,1637,1860,931,1075,639,1043.85714285714
Thiamylal,1147,1271,1047,514,684,1608,1041,1044.57142857142
Tolazoline,1147,1590,866,598,1685,604,836,1046.57142857142
Nisoldipine,502,962,995,853,1352,1622,1041,1046.71428571428
L-Homoarginine,1147,785,834,1167,1794,786,816,1047
"(4-AMINO-2-{[1-(METHYLSULFONYL)PIPERIDIN-4-YL]AMINO}PYRIMIDIN-5-YL)(2,3-DIFLUORO-6-METHOXYPHENYL)METHANONE",834,1498,1233,1859,545,371,990,1047.14285714285
Pindolol,984,1461,1627,813,800,844,816,1049.28571428571
Androstenediol,1147,664,558,1343,1794,806,1041,1050.42857142857
Levothyroxine,1147,1269,994,211,1110,1678,949,1051.14285714285
Cyclandelate,290,875,1199,1343,1794,824,1041,1052.28571428571
Alanyl Glutamine,1147,702,1560,923,1794,529,720,1053.57142857142
(2S)-1-AMINO-3-[(5-NITROQUINOLIN-8-YL)AMINO]PROPAN-2-OL,1147,650,599,1343,1794,806,1041,1054.28571428571
2-Methoxy-4-Vinyl-Phenol,1147,650,599,1343,1794,806,1041,1054.28571428571
Metenkefalin,1147,650,599,1343,1794,806,1041,1054.28571428571
Rofecoxib,909,1282,850,738,1794,1142,665,1054.28571428571
Hydrochlorothiazide,1147,604,805,1304,1304,1732,486,1054.57142857142
L-2-Amino-4-(Guanidinooxy)Butyric Acid,1147,808,746,1285,1794,786,816,1054.57142857142
Miconazole,1138,1062,836,1258,694,1418,976,1054.57142857142
Acamprosate,1147,1151,979,1511,827,743,1041,1057
Sonidegib,1147,1164,989,1452,702,954,991,1057
Freselestat,534,984,1315,1860,725,1354,639,1058.71428571428
Oxymetazoline,1147,1938,716,385,1112,1075,1041,1059.14285714285
Trolamine,111,643,437,1820,1794,1568,1041,1059.14285714285
Felodipine,892,1089,1055,472,1275,1594,1041,1059.71428571428
Imidapril,696,1536,1060,1219,1715,786,406,1059.71428571428
Tramadol,1019,1899,614,328,1174,1346,1041,1060.14285714285
Prasterone sulfate,696,961,682,1660,1794,1075,554,1060.28571428571
Clopidogrel,1110,1574,715,671,554,1767,1041,1061.71428571428
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",1147,703,894,1750,588,1313,1041,1062.28571428571
RG-4733,1147,703,894,1750,588,1313,1041,1062.28571428571
Elamipretide,1147,718,1515,385,1794,1297,586,1063.14285714285
Coenzyme M,1147,696,925,1458,1569,731,918,1063.42857142857
IC261,1147,696,925,1458,1569,731,918,1063.42857142857
Mapracorat,1147,696,925,1458,1569,731,918,1063.42857142857
Phosphorylcolamine,1147,503,1298,1860,1154,693,816,1067.28571428571
Benzquinamide,1147,1819,993,340,796,1338,1041,1067.71428571428
Abexinostat,1147,1043,924,1524,551,1280,1014,1069
Ibudilast,1026,1400,613,1581,1011,814,1041,1069.42857142857
Codeine,909,1609,1302,634,1128,865,1041,1069.71428571428
K201,290,875,1075,863,1485,1867,1041,1070.85714285714
Phenylpropanolamine,474,1734,1111,697,1455,985,1041,1071
Diltiazem,964,1360,475,1341,874,1443,1041,1071.14285714285
"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala",534,547,1743,697,1295,1867,816,1071.28571428571
Ketorolac,1147,808,718,1334,1794,829,872,1071.71428571428
Azelnidipine,534,1163,1632,1406,1663,712,394,1072
Methylthioninium,519,1562,996,350,1246,1862,976,1073
Levomethadyl Acetate,696,1686,1231,537,1077,1249,1041,1073.85714285714
Promazine,1134,1733,755,217,1676,962,1041,1074
Sulfanilamide,1147,249,1711,1848,1082,508,976,1074.42857142857
Lercanidipine,534,1012,981,1343,1794,824,1041,1075.57142857142
Zonisamide,891,1062,514,615,1564,1847,1041,1076.28571428571
Cobimetinib,290,1224,1151,1860,1082,890,1041,1076.85714285714
Acebutolol,834,1148,1486,1098,971,973,1041,1078.71428571428
Nadolol,834,1148,1486,1098,971,973,1041,1078.71428571428
Oxprenolol,834,1148,1486,1098,971,973,1041,1078.71428571428
Cyamemazine,909,1910,897,570,1000,1226,1041,1079
Papaverine,132,1403,731,1748,839,1665,1041,1079.85714285714
Cholesterol-Sulfate,834,753,1498,1334,753,1623,768,1080.42857142857
Levofloxacin,1147,212,1443,1860,746,1225,937,1081.42857142857
Pergolide,1134,1919,631,322,1104,1419,1041,1081.42857142857
Adenosine-5-Diphosphoribose,290,1165,1508,1137,1082,1354,1041,1082.42857142857
Cinchocaine,1147,1972,681,598,823,1446,911,1082.57142857142
Niflumic Acid,1096,1233,781,908,1167,1352,1041,1082.57142857142
Bivalirudin,696,1467,1107,625,1794,1019,872,1082.85714285714
Lisuride,1077,1835,803,406,1394,1025,1041,1083
Carprofen,1147,783,727,1387,1685,823,1041,1084.71428571428
Apalutamide,290,1300,1382,1530,590,1462,1041,1085
Boldenone,290,1300,1382,1530,590,1462,1041,1085
Cabazitaxel,290,1300,1382,1530,590,1462,1041,1085
Calusterone,290,1300,1382,1530,590,1462,1041,1085
Cyproterone acetate,290,1300,1382,1530,590,1462,1041,1085
Delta1-dihydrotestosterone,290,1300,1382,1530,590,1462,1041,1085
Drostanolone,290,1300,1382,1530,590,1462,1041,1085
Methyltestosterone,290,1300,1382,1530,590,1462,1041,1085
N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE,290,1300,1382,1530,590,1462,1041,1085
Nandrolone phenpropionate,290,1300,1382,1530,590,1462,1041,1085
Oxandrolone,290,1300,1382,1530,590,1462,1041,1085
Testosterone Propionate,290,1300,1382,1530,590,1462,1041,1085
Dimethyl fumarate,534,1091,609,1219,1794,1313,1041,1085.85714285714
4-(1-methyl-1-phenylethyl)phenol,534,1334,1328,1530,377,1462,1041,1086.57142857142
"methyl 4-(2,3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate",290,984,1182,1458,1485,1167,1041,1086.71428571428
Salsalate,1147,584,661,1387,1794,1272,768,1087.57142857142
Brimonidine,909,1342,1301,831,1760,647,831,1088.71428571428
"2,3-Dihydroxy-Benzoic Acid",1147,865,1493,955,1794,913,459,1089.42857142857
Milrinone,909,976,638,910,1517,1830,861,1091.57142857142
Nimustine,1147,675,1184,1860,645,1092,1041,1092
Triamcinolone,1147,1395,1279,1702,971,589,572,1093.57142857142
Vildagliptin,909,1599,626,400,1295,1790,1041,1094.28571428571
(R)-2-Hydroxy-3-Sulfopropanoic Acid,290,796,2005,1860,757,913,1041,1094.57142857142
Ampicillin,1147,664,534,1628,1794,856,1041,1094.85714285714
Glutathione,1026,1237,417,1201,1246,1678,861,1095.14285714285
Amlexanox,1147,1267,1148,1796,785,725,813,1097.28571428571
Epinastine,1147,1936,814,303,1324,1118,1041,1097.57142857142
2'-Deoxycytidine,534,1509,1033,1043,1117,1408,1041,1097.85714285714
Anthralin,534,808,1466,1167,1569,1104,1041,1098.42857142857
"2-CHLORO-4-ISOPROPYLAMINO-6-ETHYLAMINO -1,3,5-TRIAZINE",1080,1500,740,947,674,1762,991,1099.14285714285
3-Methyladenine,984,526,837,1854,1728,779,991,1099.85714285714
Alogliptin,1147,1582,1380,211,1401,1132,851,1100.57142857142
Glutathione disulfide,1080,1132,1013,656,1017,1765,1041,1100.57142857142
Higenamine,290,875,811,1660,1794,1249,1041,1102.85714285714
Maleic Acid,290,875,811,1660,1794,1249,1041,1102.85714285714
(2S)-2-({6-[(3-amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methylbutan-1-ol,1147,393,1827,1796,1020,508,1041,1104.57142857142
1-Amino-6-Cyclohex-3-Enylmethyloxypurine,1147,393,1827,1796,1020,508,1041,1104.57142857142
2-Amino-6-Chloropyrazine,1147,393,1827,1796,1020,508,1041,1104.57142857142
2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE,1147,393,1827,1796,1020,508,1041,1104.57142857142
"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",1147,393,1827,1796,1020,508,1041,1104.57142857142
4-[(6-chloropyrazin-2-yl)amino]benzenesulfonamide,1147,393,1827,1796,1020,508,1041,1104.57142857142
"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",1147,393,1827,1796,1020,508,1041,1104.57142857142
5-hydroxynaphthalene-1-sulfonamide,1147,393,1827,1796,1020,508,1041,1104.57142857142
Lysine Nz-Carboxylic Acid,1147,393,1827,1796,1020,508,1041,1104.57142857142
N-(3-METHYLBUT-2-EN-1-YL)-9H-PURIN-6-AMINE,1147,393,1827,1796,1020,508,1041,1104.57142857142
N-(4-sulfamoylphenyl)-1H-indazole-3-carboxamide,1147,393,1827,1796,1020,508,1041,1104.57142857142
N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide,1147,393,1827,1796,1020,508,1041,1104.57142857142
N-phenyl-1H-pyrazole-3-carboxamide,1147,393,1827,1796,1020,508,1041,1104.57142857142
Chlorothiazide,1147,1050,982,325,1352,1838,1041,1105
Brivanib alaninate,1147,998,1172,1750,1070,959,665,1108.71428571428
L-Citrulline,834,1550,958,1078,1546,878,918,1108.85714285714
Dyclonine,1147,1972,668,486,1279,1172,1041,1109.28571428571
Hexylcaine,1147,1972,668,486,1279,1172,1041,1109.28571428571
Proparacaine,1147,1972,668,486,1279,1172,1041,1109.28571428571
Oxatomide,1147,620,1138,1830,1349,883,812,1111.28571428571
Isoetarine,696,1209,2218,1057,636,930,1041,1112.42857142857
Latanoprost,984,1547,1549,991,1335,1030,352,1112.57142857142
Nitroaspirin,1147,709,811,1750,1685,773,918,1113.28571428571
Ropinirole,1124,1703,725,838,1104,1262,1041,1113.85714285714
"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",1147,318,2240,1002,1569,830,694,1114.28571428571
1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,1147,318,2240,1002,1569,830,694,1114.28571428571
2-(Oxalyl-Amino)-Benzoic Acid,1147,318,2240,1002,1569,830,694,1114.28571428571
3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid,1147,318,2240,1002,1569,830,694,1114.28571428571
6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid,1147,318,2240,1002,1569,830,694,1114.28571428571
Compound 9,1147,318,2240,1002,1569,830,694,1114.28571428571
Novo Nordisk a/S Compound,1147,318,2240,1002,1569,830,694,1114.28571428571
PARA-(BENZOYL)-PHENYLALANINE,1147,318,2240,1002,1569,830,694,1114.28571428571
PNU177836,1147,318,2240,1002,1569,830,694,1114.28571428571
Perphenazine,1147,1905,954,507,1349,1141,804,1115.28571428571
Telbivudine,290,735,1493,1343,1794,1113,1041,1115.57142857142
Ajmaline,1147,1972,765,436,1279,1172,1041,1116
Benzonatate,1147,1972,765,436,1279,1172,1041,1116
Ethotoin,1147,1972,765,436,1279,1172,1041,1116
Lacosamide,1147,1972,765,436,1279,1172,1041,1116
Oxcarbazepine,1147,1972,765,436,1279,1172,1041,1116
Prilocaine,1147,1972,765,436,1279,1172,1041,1116
Tocainide,1147,1972,765,436,1279,1172,1041,1116
6-Nitroindazole,1147,798,859,1702,1794,755,768,1117.57142857142
"N,N-dimethylarginine",1147,798,859,1702,1794,755,768,1117.57142857142
S-Ethylisothiourea,1147,798,859,1702,1794,755,768,1117.57142857142
Ritanserin,1147,1936,662,838,1146,1061,1041,1118.71428571428
Amoxapine,1090,1915,684,623,1526,988,1041,1123.85714285714
Methylamine,1147,534,1466,1587,1185,1423,529,1124.42857142857
Paliperidone,1130,1941,835,656,1127,1143,1041,1124.71428571428
(S)-Wiskostatin,1147,1362,1655,802,1794,606,519,1126.42857142857
"1,2,5,8-tetrahydroxyanthracene-9,10-dione",1147,735,1151,1530,1794,760,768,1126.42857142857
2-Aminothiazoline,1147,735,1151,1530,1794,760,768,1126.42857142857
"2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine",1147,735,1151,1530,1794,760,768,1126.42857142857
7-Nitroindazole-2-Carboxamidine,1147,735,1151,1530,1794,760,768,1126.42857142857
S-Isopropyl-Isothiourea,1147,735,1151,1530,1794,760,768,1126.42857142857
Se-Ethyl-Isoselenourea,1147,735,1151,1530,1794,760,768,1126.42857142857
Tilarginine,1147,735,1151,1530,1794,760,768,1126.42857142857
Sorbinil,696,566,1236,1387,1279,1867,861,1127.42857142857
Flavone,1147,1061,709,1204,1780,972,1023,1128
Protriptyline,184,690,1326,1043,1745,1867,1041,1128
Magnesium Sulfate,290,846,1624,955,1794,1354,1041,1129.14285714285
Droperidol,834,1929,845,1304,844,1109,1041,1129.42857142857
Cefdinir,290,875,1533,1458,1359,1354,1041,1130
Guanethidine,669,1904,955,391,1788,1167,1041,1130.71428571428
Melarsoprol,1147,761,1025,1728,1212,1058,985,1130.85714285714
Econazole,474,848,1177,1285,1232,1867,1041,1132
Zileuton,1147,574,776,1787,1564,1070,1007,1132.14285714285
Thiotepa,1147,709,909,1587,1728,897,957,1133.42857142857
Desflurane,1147,977,1060,1201,1483,1149,918,1133.57142857142
Diphenhydramine,1147,1535,1181,1282,1302,449,1041,1133.85714285714
Bevantolol,834,1495,1720,726,1238,887,1041,1134.42857142857
"4-Methyl-1,2-Benzenediol",534,384,1550,1860,1794,781,1041,1134.85714285714
D-Serine,1147,1071,1027,240,1768,1652,1041,1135.14285714285
4-Iodobenzo[B]Thiophene-2-Carboxamidine,1147,1376,738,1002,1794,991,902,1135.71428571428
Dyphylline,1026,1638,1150,1279,623,1193,1041,1135.71428571428
Alpha-Methyl-N-Acetyl-D-Glucosamine,1147,998,1058,853,1605,1685,606,1136
Prucalopride,696,1399,1545,1137,1000,1134,1041,1136
Tolazamide,696,1091,1768,939,1663,760,1041,1136.85714285714
Aluminum chloride,909,1685,896,843,1745,897,985,1137.14285714285
Chloroprocaine,1147,1972,1056,306,673,1767,1041,1137.42857142857
Loxapine,1147,1699,724,765,1603,983,1041,1137.42857142857
Diethylpropion,534,1012,1875,726,910,1867,1041,1137.85714285714
Phenmetrazine,534,1012,1875,726,910,1867,1041,1137.85714285714
Micafungin,1147,1215,1356,1057,1082,1068,1041,1138
(R)-Rolipram,534,1012,1409,1702,809,1462,1041,1138.42857142857
1-deoxymannojirimycin,1147,1972,754,678,1359,1420,639,1138.42857142857
Mycophenolate mofetil,1147,722,949,1660,1715,841,937,1138.71428571428
Metergoline,1147,1894,900,697,1640,930,768,1139.42857142857
Dihydromorphine,834,1683,1131,560,1741,991,1041,1140.14285714285
3-Deaza-Adenosine,1147,807,1038,1660,1663,731,937,1140.42857142857
Dihydralazine,534,745,863,1321,1677,1818,1041,1142.71428571428
Adinazolam,290,875,1690,1860,896,1354,1041,1143.71428571428
Chlormezanone,290,875,1690,1860,896,1354,1041,1143.71428571428
Clorazepate,290,875,1690,1860,896,1354,1041,1143.71428571428
Emapunil,290,875,1690,1860,896,1354,1041,1143.71428571428
Etifoxine,290,875,1690,1860,896,1354,1041,1143.71428571428
Ketazolam,290,875,1690,1860,896,1354,1041,1143.71428571428
Zopiclone,290,875,1690,1860,896,1354,1041,1143.71428571428
Sapropterin,1147,785,1002,1702,1794,816,768,1144.85714285714
Dehydroascorbic Acid,290,1141,2235,1860,1020,434,1041,1145.85714285714
Pyruvaldehyde,1110,685,1609,1258,1116,1735,512,1146.42857142857
Vismodegib,1147,1076,920,1835,942,1075,1041,1148
"6-{[6-(1-methyl-1H-pyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazin-3-yl]sulfanyl}quinoline",1147,705,1893,1860,707,684,1041,1148.14285714285
Isoquercetin,1147,709,838,1660,1756,960,967,1148.14285714285
Minaprine,1061,1935,790,747,848,1617,1041,1148.42857142857
Phosphoramidon,1147,1463,786,645,1640,1608,752,1148.71428571428
Coumarin,696,614,1524,1087,1352,1867,902,1148.85714285714
Polydatin,184,745,1577,1264,1663,1568,1041,1148.85714285714
3-Tyrosine,290,875,1089,1167,1794,1790,1041,1149.42857142857
Benzoctamine,290,875,1089,1167,1794,1790,1041,1149.42857142857
Bis-Napthyl Beta-Ketophosphonic Acid,290,380,2092,1860,1309,1685,439,1150.71428571428
Azelastine,834,1566,955,1387,1685,695,937,1151.28571428571
Penbutolol,834,1539,2061,678,936,973,1041,1151.71428571428
Ubidecarenone,1147,1082,1723,1530,1465,365,760,1153.14285714285
2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,290,587,1790,1587,1185,1867,768,1153.42857142857
"2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one",290,587,1790,1587,1185,1867,768,1153.42857142857
3-Methoxybenzamide,290,587,1790,1587,1185,1867,768,1153.42857142857
"3,4-Dihydro-5-Methyl-Isoquinolinone",290,587,1790,1587,1185,1867,768,1153.42857142857
"5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE",290,587,1790,1587,1185,1867,768,1153.42857142857
Niraparib,290,587,1790,1587,1185,1867,768,1153.42857142857
NU1025,290,587,1790,1587,1185,1867,768,1153.42857142857
RB106,290,587,1790,1587,1185,1867,768,1153.42857142857
Glycodiazine,290,1012,1447,1343,1485,1462,1041,1154.28571428571
Calcium Chloride,696,1316,1049,1212,1794,982,1041,1155.71428571428
Bisoprolol,534,1193,2240,1002,1154,930,1041,1156.28571428571
Bopindolol,534,1193,2240,1002,1154,930,1041,1156.28571428571
Metipranolol,534,1193,2240,1002,1154,930,1041,1156.28571428571
Diacerein,1147,825,1689,1098,1485,1348,505,1156.71428571428
Ketoprofen,1147,1190,883,1212,1169,1455,1041,1156.71428571428
Tianeptine,696,1601,1241,514,1677,1338,1041,1158.28571428571
Beclomethasone dipropionate,1147,1087,1714,554,827,1739,1041,1158.42857142857
Berzosertib,1147,802,1571,1321,881,1623,768,1159
Quisinostat,1147,802,1571,1321,881,1623,768,1159
Metoclopramide,1026,1890,1083,1332,982,903,902,1159.71428571428
Zotepine,1147,1882,810,656,1566,1025,1041,1161
D-glucitol 6-phosphate,534,957,1170,1860,1569,1297,752,1162.71428571428
Prasugrel,1147,1739,945,1098,997,1172,1041,1162.71428571428
Ticagrelor,1147,1739,945,1098,997,1172,1041,1162.71428571428
Ifosfamide,1147,1396,1754,625,982,1197,1041,1163.14285714285
N-3-OXO-DODECANOYL-L-HOMOSERINE LACTONE,1147,1827,688,645,1694,1107,1041,1164.14285714285
Firategrast,1147,1050,1587,1530,1485,712,639,1164.28571428571
"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",290,875,1560,726,1794,1867,1041,1164.71428571428
